"","code","x","sex","bic_0","tau1","bic_1","tau1_2","tau2_2","bic_2"
"1","DEUTE",0,"female",4.19266478888811,2005,3.67483179555617,1991,2002,-3.13763397835659
"2","DEUTE",65,"female",-20.6385662306832,1987,-22.8023520390626,1987,2002,-26.918322126523
"3","DEUTW",0,"female",-15.995364146878,1988,-17.0937017206124,1988,2015,-16.8414601709163
"4","DEUTW",65,"female",-27.3845200837333,2015,-26.8377662081056,2004,2005,-27.4645873176538
"5","ESP",0,"female",1.98538255011156,1983,1.98591051423157,1983,1984,1.94828236718622
"6","ESP",65,"female",-5.80817737626479,2014,-3.31538070824855,1983,1984,-2.94218970132325
"7","FRATNP",0,"female",-2.07732230670117,2015,-1.97278085977598,2004,2005,-10.4712835948624
"8","FRATNP",65,"female",-4.72623290898022,2015,-3.05493184824098,2004,2005,-14.166081619132
"9","ITA",0,"female",13.4206419729141,2005,14.3215513280727,2004,2005,10.6753078109803
"10","ITA",65,"female",6.70936903621141,2005,9.02105231117896,2004,2005,4.41041472450577
"11","GBRTENW",0,"female",-8.9654210552171,2012,-9.95057129115454,2009,2012,-8.49454268123321
"12","GBRTENW",65,"female",-13.9120197133478,2012,-12.5058384688567,2015,2016,-12.3091247223196
"13","GBR_SCO",0,"female",16.097886455109,1981,16.0392457097099,1989,1990,14.8390036811959
"14","GBR_SCO",65,"female",9.14283587436582,1981,11.3053149933879,1994,1995,9.67907451746747
"15","DEUTE",0,"male",23.3418984246802,1991,19.9559398968094,1990,1991,4.74051540186597
"16","DEUTE",65,"male",-20.4705701787301,1991,-21.403870301997,1991,2009,-22.8705056357125
"17","DEUTW",0,"male",-25.0966175619666,2015,-26.5444169857849,2004,2005,-26.9385452960056
"18","DEUTW",65,"male",-38.9966563504754,2015,-39.6077779429307,2014,2015,-39.8141968346887
"19","ESP",0,"male",5.29118251805802,1983,5.93012558544504,1983,1992,2.76092237110492
"20","ESP",65,"male",-12.3405747479843,2000,-9.96634800650978,2006,2007,-10.8184801702533
"21","FRATNP",0,"male",-16.2243319416431,2015,-17.0140908925428,2004,2005,-24.5547238698486
"22","FRATNP",65,"male",-28.3593258198055,2015,-27.240574192644,2004,2005,-32.484100338783
"23","ITA",0,"male",1.89779753958067,1981,3.54504314965839,2015,2016,2.71463449382143
"24","ITA",65,"male",-15.9125217700511,1984,-14.2884735739757,2004,2005,-16.065641346085
"25","GBRTENW",0,"male",-17.9881774726026,2013,-23.500699151675,2009,2012,-22.3756034289782
"26","GBRTENW",65,"male",-31.5842235558161,2012,-31.9881394267497,2000,2012,-34.3325459516885
"27","GBR_SCO",0,"male",4.07707304538219,2015,0.458967787038929,2015,2016,1.52926571017114
"28","GBR_SCO",65,"male",-9.43966424402387,1994,-7.98160476456402,1994,1995,-10.3542593695013
"29","DEUTSYNTH",0,"male",-19.0932916822179,2015,-19.6201287358331,2004,2005,-19.4396933850237
"30","DEUTSYNTH",65,"male",-37.9866158617648,2015,-38.8169827153284,2014,2015,-38.5150952007261
"31","DEUTSYNTH",0,"female",-17.1659561249211,2007,-18.6137217289683,2004,2005,-18.2107537413673
"32","DEUTSYNTH",65,"female",-29.4354666708507,2015,-29.3561963379264,2004,2005,-29.8877961643845
